mes,mes_label,chapter,senioridade,demanda_liquida,oferta_ajustada,gap,gap_pct,farol_status
2026-03,Mar/2026,Data Science,Junior,2,0.6,1.4,70.0,acelerar
2026-04,Abr/2026,Data Science,Junior,2,0.9,1.1,55.0,acelerar
2026-05,Mai/2026,Data Science,Junior,2,1.1,0.9,45.0,acelerar
2026-06,Jun/2026,Data Science,Junior,2,1.2,0.8,40.0,acelerar
2026-03,Mar/2026,Data Science,Pleno,3,1.5,1.5,50.0,acelerar
2026-04,Abr/2026,Data Science,Pleno,3,1.9,1.1,36.7,acelerar
2026-05,Mai/2026,Data Science,Pleno,4,2.2,1.8,45.0,acelerar
2026-06,Jun/2026,Data Science,Pleno,4,2.5,1.5,37.5,acelerar
2026-03,Mar/2026,Data Science,Senior,2,1.0,1.0,50.0,acelerar
2026-04,Abr/2026,Data Science,Senior,2,1.3,0.7,35.0,acelerar
2026-05,Mai/2026,Data Science,Senior,2,1.5,0.5,25.0,acelerar
2026-06,Jun/2026,Data Science,Senior,2,1.7,0.3,15.0,manter
2026-03,Mar/2026,Data Science,Staff,0,0,0,,sem_dado
2026-04,Abr/2026,Data Science,Staff,0,0,0,,sem_dado
2026-05,Mai/2026,Data Science,Staff,0,0,0,,sem_dado
2026-06,Jun/2026,Data Science,Staff,0,0,0,,sem_dado
2026-03,Mar/2026,Data Engineering,Junior,3,2.6,0.4,13.3,manter
2026-04,Abr/2026,Data Engineering,Junior,3,2.8,0.2,6.7,manter
2026-05,Mai/2026,Data Engineering,Junior,3,3.0,0.0,0.0,manter
2026-06,Jun/2026,Data Engineering,Junior,3,3.1,-0.1,-3.3,manter
2026-03,Mar/2026,Data Engineering,Pleno,5,4.0,1.0,20.0,manter
2026-04,Abr/2026,Data Engineering,Pleno,6,4.6,1.4,23.3,acelerar
2026-05,Mai/2026,Data Engineering,Pleno,6,5.0,1.0,16.7,manter
2026-06,Jun/2026,Data Engineering,Pleno,6,5.2,0.8,13.3,manter
2026-03,Mar/2026,Data Engineering,Senior,3,2.2,0.8,26.7,acelerar
2026-04,Abr/2026,Data Engineering,Senior,3,2.4,0.6,20.0,manter
2026-05,Mai/2026,Data Engineering,Senior,3,2.6,0.4,13.3,manter
2026-06,Jun/2026,Data Engineering,Senior,3,2.8,0.2,6.7,manter
2026-03,Mar/2026,Data Engineering,Staff,0,0,0,,sem_dado
2026-04,Abr/2026,Data Engineering,Staff,0,0,0,,sem_dado
2026-05,Mai/2026,Data Engineering,Staff,0,0,0,,sem_dado
2026-06,Jun/2026,Data Engineering,Staff,0,0,0,,sem_dado
2026-03,Mar/2026,Analytics Engineering,Junior,1,1.0,0.0,0.0,manter
2026-04,Abr/2026,Analytics Engineering,Junior,1,1.3,-0.3,-30.0,pausar
2026-05,Mai/2026,Analytics Engineering,Junior,1,1.6,-0.6,-60.0,pausar
2026-06,Jun/2026,Analytics Engineering,Junior,1,1.8,-0.8,-80.0,pausar
2026-03,Mar/2026,Analytics Engineering,Pleno,3,2.4,0.6,20.0,manter
2026-04,Abr/2026,Analytics Engineering,Pleno,3,2.7,0.3,10.0,manter
2026-05,Mai/2026,Analytics Engineering,Pleno,3,2.9,0.1,3.3,manter
2026-06,Jun/2026,Analytics Engineering,Pleno,3,3.0,0.0,0.0,manter
2026-03,Mar/2026,Analytics Engineering,Senior,1,0.6,0.4,40.0,acelerar
2026-04,Abr/2026,Analytics Engineering,Senior,1,0.8,0.2,20.0,manter
2026-05,Mai/2026,Analytics Engineering,Senior,1,0.9,0.1,10.0,manter
2026-06,Jun/2026,Analytics Engineering,Senior,1,1.0,0.0,0.0,manter
2026-03,Mar/2026,Analytics Engineering,Staff,0,0,0,,sem_dado
2026-04,Abr/2026,Analytics Engineering,Staff,0,0,0,,sem_dado
2026-05,Mai/2026,Analytics Engineering,Staff,0,0,0,,sem_dado
2026-06,Jun/2026,Analytics Engineering,Staff,0,0,0,,sem_dado
2026-03,Mar/2026,Data Consultant,Junior,1,0.5,0.5,50.0,acelerar
2026-04,Abr/2026,Data Consultant,Junior,1,0.6,0.4,40.0,acelerar
2026-05,Mai/2026,Data Consultant,Junior,1,0.7,0.3,30.0,acelerar
2026-06,Jun/2026,Data Consultant,Junior,1,0.8,0.2,20.0,manter
2026-03,Mar/2026,Data Consultant,Pleno,2,1.2,0.8,40.0,acelerar
2026-04,Abr/2026,Data Consultant,Pleno,3,1.6,1.4,46.7,acelerar
2026-05,Mai/2026,Data Consultant,Pleno,3,1.8,1.2,40.0,acelerar
2026-06,Jun/2026,Data Consultant,Pleno,3,2.0,1.0,33.3,acelerar
2026-03,Mar/2026,Data Consultant,Senior,2,1.0,1.0,50.0,acelerar
2026-04,Abr/2026,Data Consultant,Senior,2,1.2,0.8,40.0,acelerar
2026-05,Mai/2026,Data Consultant,Senior,2,1.4,0.6,30.0,acelerar
2026-06,Jun/2026,Data Consultant,Senior,2,1.5,0.5,25.0,acelerar
2026-03,Mar/2026,Data Consultant,Staff,0,0,0,,sem_dado
2026-04,Abr/2026,Data Consultant,Staff,0,0,0,,sem_dado
2026-05,Mai/2026,Data Consultant,Staff,0,0,0,,sem_dado
2026-06,Jun/2026,Data Consultant,Staff,0,0,0,,sem_dado
