mes,mes_label,chapter,etapa,ordem_etapa,candidatos,conversao_pct,tempo_medio_dias,meta_sla_dias,excesso_dias,status_sla
2026-03,Mar/2026,Data Science,Envio de Currículo,1,108,,2.3,2,0.3,atencao
2026-03,Mar/2026,Data Science,Entrevista Fit,2,43,40.3,2.6,3,-0.4,ok
2026-03,Mar/2026,Data Science,Técnica 1,3,29,67.2,5.5,5,0.5,atencao
2026-03,Mar/2026,Data Science,Técnica 2,4,20,69.8,8.1,5,3.1,atencao
2026-03,Mar/2026,Data Science,Conversa com André,5,14,68.9,3.2,4,-0.8,ok
2026-03,Mar/2026,Data Science,Oferta,6,11,79.2,2.1,3,-0.9,ok
2026-03,Mar/2026,Data Science,Contratação,7,7,67.2,,,,
2026-04,Abr/2026,Data Science,Envio de Currículo,1,114,,1.1,2,-0.9,ok
2026-04,Abr/2026,Data Science,Entrevista Fit,2,48,42.0,3.3,3,0.3,atencao
2026-04,Abr/2026,Data Science,Técnica 1,3,34,70.4,4.4,5,-0.6,ok
2026-04,Abr/2026,Data Science,Técnica 2,4,23,68.9,9.4,5,4.4,atencao
2026-04,Abr/2026,Data Science,Conversa com André,5,16,68.1,3.0,4,-1.0,ok
2026-04,Abr/2026,Data Science,Oferta,6,13,83.1,3.4,3,0.4,atencao
2026-04,Abr/2026,Data Science,Contratação,7,9,68.4,,,,
2026-05,Mai/2026,Data Science,Envio de Currículo,1,120,,2.9,2,0.9,atencao
2026-05,Mai/2026,Data Science,Entrevista Fit,2,52,43.4,2.2,3,-0.8,ok
2026-05,Mai/2026,Data Science,Técnica 1,3,34,66.0,5.7,5,0.7,atencao
2026-05,Mai/2026,Data Science,Técnica 2,4,24,69.0,10.7,5,5.7,critico
2026-05,Mai/2026,Data Science,Conversa com André,5,16,68.1,4.5,4,0.5,atencao
2026-05,Mai/2026,Data Science,Oferta,6,13,80.4,3.9,3,0.9,atencao
2026-05,Mai/2026,Data Science,Contratação,7,9,68.8,,,,
2026-06,Jun/2026,Data Science,Envio de Currículo,1,126,,2.7,2,0.7,atencao
2026-06,Jun/2026,Data Science,Entrevista Fit,2,58,46.2,3.7,3,0.7,atencao
2026-06,Jun/2026,Data Science,Técnica 1,3,41,70.8,5.4,5,0.4,atencao
2026-06,Jun/2026,Data Science,Técnica 2,4,26,63.5,12,5,7,critico
2026-06,Jun/2026,Data Science,Conversa com André,5,16,62.3,3.6,4,-0.4,ok
2026-06,Jun/2026,Data Science,Oferta,6,12,75.8,2.5,3,-0.5,ok
2026-06,Jun/2026,Data Science,Contratação,7,8,66.0,,,,
2026-03,Mar/2026,Data Engineering,Envio de Currículo,1,135,,2.3,2,0.3,atencao
2026-03,Mar/2026,Data Engineering,Entrevista Fit,2,59,43.6,2.7,3,-0.3,ok
2026-03,Mar/2026,Data Engineering,Técnica 1,3,40,67.1,5,5,0,ok
2026-03,Mar/2026,Data Engineering,Técnica 2,4,26,65.7,5.9,5,0.9,atencao
2026-03,Mar/2026,Data Engineering,Conversa com André,5,17,66.5,4.2,4,0.2,atencao
