mes,mes_label,chapter,senioridade,etapa,ordem_etapa,candidatos
2026-03,Mar/2026,Data Science,Junior,Envio de Currículo,1,35
2026-03,Mar/2026,Data Science,Pleno,Envio de Currículo,1,41
2026-03,Mar/2026,Data Science,Senior,Envio de Currículo,1,27
2026-03,Mar/2026,Data Science,Staff,Envio de Currículo,1,5
2026-03,Mar/2026,Data Science,Junior,Entrevista Fit,2,13
2026-03,Mar/2026,Data Science,Pleno,Entrevista Fit,2,16
2026-03,Mar/2026,Data Science,Senior,Entrevista Fit,2,11
2026-03,Mar/2026,Data Science,Staff,Entrevista Fit,2,3
2026-03,Mar/2026,Data Science,Junior,Técnica 1,3,8
2026-03,Mar/2026,Data Science,Pleno,Técnica 1,3,11
2026-03,Mar/2026,Data Science,Senior,Técnica 1,3,8
2026-03,Mar/2026,Data Science,Staff,Técnica 1,3,2
2026-03,Mar/2026,Data Science,Junior,Técnica 2,4,5
2026-03,Mar/2026,Data Science,Pleno,Técnica 2,4,8
2026-03,Mar/2026,Data Science,Senior,Técnica 2,4,6
2026-03,Mar/2026,Data Science,Staff,Técnica 2,4,1
2026-03,Mar/2026,Data Science,Junior,Conversa com André,5,4
2026-03,Mar/2026,Data Science,Pleno,Conversa com André,5,5
2026-03,Mar/2026,Data Science,Senior,Conversa com André,5,4
2026-03,Mar/2026,Data Science,Staff,Conversa com André,5,1
2026-03,Mar/2026,Data Science,Junior,Oferta,6,2
2026-03,Mar/2026,Data Science,Pleno,Oferta,6,4
2026-03,Mar/2026,Data Science,Senior,Oferta,6,4
2026-03,Mar/2026,Data Science,Staff,Oferta,6,1
2026-03,Mar/2026,Data Science,Junior,Contratação,7,1
2026-03,Mar/2026,Data Science,Pleno,Contratação,7,3
2026-03,Mar/2026,Data Science,Senior,Contratação,7,2
2026-03,Mar/2026,Data Science,Staff,Contratação,7,1
2026-04,Abr/2026,Data Science,Junior,Envio de Currículo,1,36
2026-04,Abr/2026,Data Science,Pleno,Envio de Currículo,1,43
2026-04,Abr/2026,Data Science,Senior,Envio de Currículo,1,29
2026-04,Abr/2026,Data Science,Staff,Envio de Currículo,1,6
2026-04,Abr/2026,Data Science,Junior,Entrevista Fit,2,14
2026-04,Abr/2026,Data Science,Pleno,Entrevista Fit,2,18
2026-04,Abr/2026,Data Science,Senior,Entrevista Fit,2,13
2026-04,Abr/2026,Data Science,Staff,Entrevista Fit,2,3
2026-04,Abr/2026,Data Science,Junior,Técnica 1,3,10
2026-04,Abr/2026,Data Science,Pleno,Técnica 1,3,13
2026-04,Abr/2026,Data Science,Senior,Técnica 1,3,9
2026-04,Abr/2026,Data Science,Staff,Técnica 1,3,2
2026-04,Abr/2026,Data Science,Junior,Técnica 2,4,6
2026-04,Abr/2026,Data Science,Pleno,Técnica 2,4,9
2026-04,Abr/2026,Data Science,Senior,Técnica 2,4,7
2026-04,Abr/2026,Data Science,Staff,Técnica 2,4,1
2026-04,Abr/2026,Data Science,Junior,Conversa com André,5,4
2026-04,Abr/2026,Data Science,Pleno,Conversa com André,5,6
2026-04,Abr/2026,Data Science,Senior,Conversa com André,5,5
2026-04,Abr/2026,Data Science,Staff,Conversa com André,5,1
2026-04,Abr/2026,Data Science,Junior,Oferta,6,3
2026-04,Abr/2026,Data Science,Pleno,Oferta,6,5
2026-04,Abr/2026,Data Science,Senior,Oferta,6,4
2026-04,Abr/2026,Data Science,Staff,Oferta,6,1
2026-04,Abr/2026,Data Science,Junior,Contratação,7,2
2026-04,Abr/2026,Data Science,Pleno,Contratação,7,3
2026-04,Abr/2026,Data Science,Senior,Contratação,7,3
