mes,mes_label,chapter,ofertas_sys,aceites_sys
2026-03,Mar/2026,Analytics Engineering,4,1
2026-03,Mar/2026,Data Consultant,3,1
2026-03,Mar/2026,Data Engineering,4,2
2026-03,Mar/2026,Data Science,2,1
2026-04,Abr/2026,Analytics Engineering,1,0
2026-04,Abr/2026,Data Consultant,3,1
2026-04,Abr/2026,Data Engineering,4,2
2026-04,Abr/2026,Data Science,1,0
2026-05,Mai/2026,Analytics Engineering,1,0
2026-05,Mai/2026,Data Consultant,4,1
2026-05,Mai/2026,Data Engineering,4,2
2026-05,Mai/2026,Data Science,4,2
2026-06,Jun/2026,Analytics Engineering,1,0
2026-06,Jun/2026,Data Consultant,1,0
2026-06,Jun/2026,Data Engineering,1,1
2026-06,Jun/2026,Data Science,2,1
